,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
151,123,641,5.21,444.8,3.62,6.15,0.0,19.79,54.38,0.0,0.0,106.45,24.28,68.8,40.49,6.77,12.0,3.49,2.8,0.0,3.27,0.0,1.44,0.0,0.98,4.0
152,151,1157,7.66,1232.69,8.16,10.66,0.0,165.68,155.39,0.0,0.0,0.0,102.0,436.02,58.41,48.78,0.0,85.48,42.07,0.0,6.93,1.01,6.53,0.0,0.0,3.0
153,31,221,7.13,249.55,8.05,18.26,0.0,31.81,39.6,0.0,0.0,0.0,12.66,33.06,28.1,22.25,0.0,7.7,5.87,8.9,5.97,1.27,3.25,0.0,8.31,5.0
154,147,857,5.83,1267.05,8.62,20.87,88.2,43.51,79.2,4.26,0.0,3.82,1.99,78.0,54.69,3.13,32.0,41.48,2.91,0.0,46.2,0.0,0.63,110.03,2.67,3.0
155,11,146,13.27,148.71,13.52,18.29,32.0,37.18,43.48,0.0,0.0,0.0,0.0,6.85,39.06,2.19,0.0,2.99,0.55,0.0,7.19,0.0,11.64,0.0,1.59,5.0
156,74,488,6.59,412.31,5.57,8.68,0.0,37.44,41.57,0.0,0.0,0.0,5.56,156.71,97.43,3.1,0.0,14.13,4.2,0.0,18.28,0.0,1.1,0.0,0.0,4.0
157,14,192,13.71,284.43,20.32,6.34,0.0,3.19,44.94,0.0,0.0,0.0,46.9,52.15,19.61,2.87,0.0,11.78,2.3,0.0,0.0,0.0,13.14,0.0,0.0,5.0
158,59,547,9.27,412.21,6.99,4.98,0.0,66.37,37.64,6.4,0.0,0.0,5.54,61.1,103.34,61.66,0.0,3.88,1.7,0.0,1.09,0.0,3.97,0.0,1.55,5.0
159,80,694,8.68,762.72,9.53,19.46,0.0,83.73,76.88,7.64,0.0,3.14,26.96,88.75,86.81,69.33,0.0,0.0,41.04,1.95,44.32,1.23,5.98,0.0,2.8,4.0
160,67,723,10.79,577.26,8.62,4.96,10.0,54.47,196.23,0.0,0.0,0.0,33.44,124.29,214.79,23.39,0.0,5.86,9.39,0.0,3.07,0.0,7.44,0.0,40.74,4.0
