,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
493,23,364,15.83,484.26,21.05,8.14,0.0,41.72,56.93,8.86,6.36,4.25,37.57,84.35,18.99,59.67,0.0,81.48,6.1,0.0,48.19,0.84,3.21,0.0,0.0,5.0
494,112,472,4.21,573.21,5.12,26.12,147.0,37.86,73.03,0.0,0.0,0.0,17.33,52.51,46.95,14.42,58.0,28.07,8.13,0.0,9.5,0.0,16.57,0.0,21.44,4.0
495,64,559,8.73,549.26,8.58,13.71,0.0,79.35,139.41,0.0,0.0,3.87,43.95,34.37,68.02,18.75,0.0,34.0,27.3,0.0,15.6,1.49,10.26,0.0,1.48,4.0
496,63,645,10.24,451.27,7.16,12.17,0.0,90.34,34.67,16.14,0.0,0.0,1.88,47.05,27.1,6.21,0.0,12.11,14.01,0.0,32.41,0.0,1.94,0.0,10.89,4.0
497,75,1010,13.47,1476.43,19.69,28.67,0.0,106.24,311.89,0.95,0.0,8.5,73.92,276.5,125.49,233.96,0.0,42.61,4.4,0.0,69.74,22.83,1.15,0.0,11.11,1.0
498,43,600,13.95,765.63,17.81,41.69,0.0,121.86,91.4,0.0,0.0,0.0,18.38,55.21,32.45,42.48,0.0,5.58,3.1,0.0,119.56,0.0,2.02,0.0,9.19,5.0
499,16,232,14.5,291.38,18.21,33.45,0.0,19.04,47.23,0.0,0.0,0.0,25.46,45.88,31.25,9.99,0.0,10.89,1.4,0.0,44.82,0.0,0.67,0.0,0.0,5.0
500,29,812,28.0,989.26,34.11,26.45,0.0,107.91,42.01,14.01,0.0,0.0,67.52,141.9,21.11,56.46,0.0,156.14,8.7,0.0,52.45,9.48,76.0,0.0,30.44,1.0
501,32,209,6.53,278.27,8.7,9.23,0.0,2.92,22.6,10.95,11.56,0.0,20.38,34.56,12.8,2.7,0.0,10.53,0.8,0.0,4.48,36.74,8.79,0.0,16.49,5.0
502,36,1245,34.58,1385.68,38.49,39.59,0.0,168.92,275.53,53.43,0.0,4.38,57.88,120.92,151.48,107.52,0.0,123.04,7.61,3.39,43.02,0.0,27.46,0.0,0.0,0.0
503,90,1513,16.81,1644.48,18.27,24.54,0.0,94.29,136.24,1.35,0.0,103.89,62.79,199.37,238.39,78.54,5.0,160.89,33.87,0.0,81.14,0.0,54.16,0.0,0.0,3.0
504,155,756,4.88,1115.27,7.2,8.93,0.0,12.0,16.89,6.37,0.0,604.62,12.26,36.98,5.76,9.08,0.0,18.79,23.48,3.39,7.67,0.0,0.0,0.0,0.0,3.0
505,166,1104,6.65,2425.46,14.61,38.92,50.0,100.73,252.94,34.41,0.0,0.0,43.82,115.49,126.22,207.77,0.0,30.8,24.8,0.0,83.88,10.05,9.4,496.19,4.85,3.0
506,13,242,18.62,328.83,25.29,16.47,0.0,37.32,24.2,0.0,0.0,24.48,20.59,16.65,89.59,29.59,0.0,53.74,2.48,0.0,2.19,5.09,0.0,0.0,1.44,5.0
507,62,1137,18.34,1317.94,21.26,54.46,0.0,240.58,182.19,8.78,0.0,0.0,55.42,105.78,80.73,24.66,0.0,35.76,29.33,1.18,62.51,5.7,38.44,0.0,6.5,1.0
508,64,525,8.2,864.23,13.5,6.33,10.0,39.77,82.01,11.13,0.0,180.27,9.48,83.51,82.22,42.34,0.0,20.36,2.28,5.32,6.93,13.58,17.51,0.0,8.91,4.0
509,28,478,17.07,427.82,15.28,21.29,0.0,10.01,125.52,9.08,5.7,0.0,4.83,51.24,16.12,6.68,0.0,26.36,0.52,0.0,15.42,0.0,30.63,0.0,8.43,5.0
510,49,640,13.06,782.16,15.96,17.98,0.0,136.12,107.94,0.0,0.0,7.9,17.15,375.35,94.52,41.28,0.0,69.62,18.65,7.9,9.87,23.0,7.64,0.0,9.53,5.0
511,111,648,5.84,500.17,4.51,21.86,0.0,84.72,46.87,58.15,0.0,3.4,19.86,51.25,50.62,12.76,5.0,83.88,6.05,0.0,4.16,0.84,3.07,0.0,6.12,0.0
512,55,906,16.47,685.13,12.46,26.89,0.0,113.57,66.08,61.7,0.0,24.11,36.03,33.63,165.98,33.94,0.0,19.96,3.56,0.0,39.08,4.47,33.46,0.0,0.53,0.0
513,55,246,4.47,282.61,5.14,0.55,0.0,60.93,77.78,0.0,0.0,8.5,19.2,38.41,20.78,13.92,21.0,5.89,1.6,1.61,1.58,0.0,1.43,0.0,0.89,5.0
514,59,422,7.15,616.76,10.45,12.2,160.0,40.54,108.57,9.08,0.0,22.1,3.58,47.46,38.93,7.07,0.0,4.58,4.27,0.0,10.07,35.7,7.4,0.0,0.0,5.0
515,32,468,14.63,542.1,16.94,5.53,0.0,40.03,98.35,6.82,0.0,15.72,9.79,154.11,69.73,13.77,0.0,34.63,3.4,8.84,18.33,14.13,0.0,0.0,2.81,5.0
516,98,605,6.17,542.28,5.53,63.12,0.0,112.53,52.2,0.0,0.0,0.0,31.63,52.23,25.2,8.28,0.0,150.07,0.8,1.69,2.18,0.0,2.96,0.0,9.11,4.0
517,93,568,6.11,1013.56,10.9,4.02,265.0,34.31,50.76,0.0,0.0,0.0,9.5,97.35,31.95,6.76,0.0,53.11,16.47,0.0,19.89,8.5,4.9,0.0,36.12,4.0
518,25,212,8.48,374.95,15.0,6.52,0.0,21.99,37.71,0.0,0.0,113.25,10.31,25.29,13.16,12.25,0.0,12.1,8.11,0.0,2.99,0.0,1.78,0.0,0.0,5.0
519,22,245,11.14,297.63,13.53,4.21,0.0,24.12,32.74,0.0,0.0,8.25,1.86,142.77,61.61,21.88,0.0,1.79,8.04,22.08,5.72,0.0,15.5,0.0,0.0,5.0
520,39,462,11.85,558.16,14.31,17.57,0.0,39.43,162.49,0.0,0.0,0.0,26.17,93.62,91.81,17.78,0.0,1.99,2.82,10.45,27.45,0.0,0.5,0.0,3.51,5.0
521,30,254,8.47,496.63,16.55,1.78,120.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,51.71,0.0,1.99,0.0,1.92,0.0,0.0,5.0
522,17,204,12.0,204.75,12.04,11.02,0.0,37.97,54.8,0.0,0.0,0.0,7.06,21.79,18.31,3.81,0.0,42.33,3.2,0.0,18.0,0.0,2.26,0.0,6.35,5.0
523,77,736,9.56,643.96,8.36,22.76,0.0,51.42,120.89,19.3,0.0,0.0,38.3,129.77,35.25,25.76,0.0,36.34,21.71,5.22,18.01,1.33,17.37,0.0,0.0,4.0
524,116,661,5.7,884.27,7.62,19.72,60.0,54.81,117.84,29.08,0.0,0.0,18.2,104.57,50.88,9.05,6.0,20.18,4.78,0.76,14.37,0.0,1.17,0.0,6.57,4.0
525,71,575,8.1,437.14,6.16,11.65,0.0,132.33,49.7,0.0,0.0,0.0,9.18,15.85,177.78,26.31,0.0,1.43,5.94,0.0,2.97,0.84,3.33,0.0,6.04,4.0
526,28,322,11.5,328.96,11.75,13.83,0.0,9.0,37.95,0.0,0.0,0.0,1.63,70.19,11.18,35.42,0.0,10.96,14.94,0.0,0.0,14.06,0.0,0.0,4.72,5.0
527,59,663,11.24,904.49,15.33,46.83,0.0,170.87,107.38,1.53,0.0,405.51,16.22,82.03,205.54,41.19,0.0,63.39,10.95,0.0,18.36,6.4,24.14,0.0,5.75,4.0
528,44,470,10.68,539.47,12.26,14.18,0.0,72.97,82.09,0.0,0.0,0.0,13.07,55.21,89.53,24.91,0.0,41.63,2.95,0.0,17.77,2.55,12.74,0.0,1.88,5.0
529,33,1208,36.61,1498.38,45.41,16.06,0.0,192.27,205.31,0.0,0.0,24.05,158.41,171.13,254.11,109.32,0.0,48.4,0.5,0.0,57.84,13.62,11.41,0.0,1.8,1.0
530,183,855,4.67,660.16,3.61,13.43,0.0,87.56,148.74,11.35,0.0,8.5,14.48,102.64,82.54,2.76,4.5,61.67,1.65,0.0,57.91,2.85,23.39,0.0,24.05,3.0
531,9,199,22.11,251.22,27.91,3.91,0.0,40.43,15.91,0.0,0.0,0.0,27.2,30.97,21.77,10.71,0.0,42.01,3.05,16.81,10.04,0.0,2.69,0.0,0.0,1.0
532,51,898,17.61,1266.64,24.84,26.29,0.0,101.17,195.45,6.73,0.0,166.32,27.21,223.65,132.13,54.88,0.0,110.16,9.7,0.0,67.92,2.55,25.54,0.0,7.39,1.0
533,63,689,10.94,692.08,10.99,11.52,0.0,104.82,87.02,50.06,0.0,0.0,48.09,104.73,107.28,48.11,0.0,27.03,0.0,0.0,27.02,0.0,11.91,0.0,0.4,0.0
534,54,527,9.76,504.05,9.33,7.17,0.0,59.32,123.22,9.57,0.0,0.0,13.93,54.19,90.19,13.19,5.0,10.66,2.94,1.69,1.84,0.0,11.11,0.0,2.1,5.0
535,54,366,6.78,498.86,9.24,14.78,0.0,26.89,113.93,0.0,0.0,246.97,19.4,85.12,53.06,10.62,0.0,8.45,0.0,0.0,8.48,0.89,1.32,0.0,2.37,5.0
536,25,363,14.52,438.04,17.52,10.19,0.0,70.53,67.73,0.0,0.0,18.43,6.15,75.47,91.41,34.14,0.0,0.0,6.89,0.0,4.43,0.0,3.35,0.0,0.0,5.0
537,35,286,8.17,471.63,13.48,13.36,0.0,80.38,29.32,0.0,0.0,250.78,0.0,8.88,24.3,56.45,0.0,3.48,21.3,0.0,9.54,2.51,8.32,0.0,0.0,5.0
538,29,325,11.21,368.79,12.72,18.95,0.0,32.07,18.36,0.0,0.0,0.0,12.55,79.78,57.94,18.55,0.0,73.38,1.19,0.0,3.54,0.0,4.2,0.0,0.44,5.0
539,66,998,15.12,1417.06,21.47,57.03,0.0,308.97,189.4,0.0,0.0,66.37,63.26,96.01,86.7,16.89,0.0,156.25,24.1,0.0,233.05,0.0,1.22,0.0,5.12,1.0
540,25,202,8.08,245.86,9.83,9.72,0.0,51.41,23.46,0.0,0.0,3.4,4.22,37.71,38.78,18.08,5.0,22.1,1.28,0.42,1.45,2.76,5.31,0.0,0.0,5.0
541,46,312,6.78,459.72,9.99,13.81,10.0,54.02,29.14,0.0,0.0,122.11,9.31,46.49,14.2,10.05,24.0,12.76,7.24,3.4,2.36,0.0,2.45,0.0,0.19,5.0
542,75,1124,14.99,902.97,12.04,27.29,0.0,44.27,65.26,0.0,0.0,151.43,23.11,188.84,116.91,242.62,0.0,43.4,10.6,1.61,10.69,2.71,4.24,0.0,2.48,4.0
543,148,1162,7.85,1002.15,6.77,12.65,0.0,128.19,138.64,3.94,0.0,0.0,37.17,355.75,233.63,241.32,0.0,1.89,4.75,0.0,24.36,8.92,16.8,0.0,0.0,3.0
544,159,962,6.05,645.01,4.06,3.74,0.0,100.92,60.48,83.74,0.0,2.55,5.75,97.53,1.33,44.53,30.0,24.56,0.15,0.0,51.05,5.06,46.78,0.0,0.0,0.0
545,88,1204,13.68,914.11,10.39,38.35,0.0,139.4,255.77,28.09,0.0,33.32,32.98,45.02,59.43,34.76,19.0,73.26,16.6,0.84,15.25,12.38,84.3,0.0,3.5,4.0
546,29,382,13.17,389.16,13.42,6.27,10.0,94.97,60.71,0.0,0.0,2.7,9.42,33.3,86.58,24.19,0.0,73.01,0.0,3.39,13.27,0.0,3.56,0.0,2.15,5.0
547,37,183,4.95,222.94,6.03,5.34,5.0,16.37,26.85,0.0,0.0,0.0,5.97,29.4,33.86,4.33,3.0,3.49,2.2,4.26,5.94,2.85,5.88,0.0,0.0,5.0
548,41,486,11.85,600.83,14.65,8.37,0.0,44.22,91.08,3.5,0.0,35.46,3.54,84.62,70.63,43.99,0.0,9.85,9.19,0.0,7.32,0.84,0.32,0.0,4.99,5.0
549,40,538,13.45,526.0,13.15,49.2,0.0,99.43,45.31,0.0,0.0,13.34,2.91,52.98,96.65,28.22,5.0,20.41,3.56,0.0,23.23,4.64,0.44,0.0,0.89,5.0
550,89,541,6.08,500.47,5.62,3.45,33.0,79.19,27.74,0.0,0.0,0.0,21.7,14.83,311.54,22.75,13.0,10.28,9.86,0.0,13.18,5.76,0.0,0.0,3.36,4.0
551,127,721,5.68,791.37,6.23,6.71,0.0,80.16,211.85,0.0,0.0,0.0,23.61,124.31,143.11,13.16,0.0,77.42,17.89,0.0,25.43,1.52,1.36,0.0,0.0,4.0
552,61,403,6.61,936.18,15.35,5.0,0.0,28.64,51.13,5.21,0.0,172.59,45.56,14.83,23.04,42.77,0.0,31.17,0.7,0.0,57.12,2.41,1.29,0.0,0.0,4.0
553,32,354,11.06,388.36,12.14,13.19,0.0,45.46,94.4,16.79,0.0,0.0,18.75,82.92,46.4,8.82,2.0,9.76,1.3,0.0,1.09,1.02,5.46,0.0,0.0,5.0
554,26,689,26.5,536.08,20.62,65.53,0.0,54.03,56.52,0.0,0.0,13.08,94.82,55.05,114.13,150.8,0.0,21.17,4.5,0.0,33.47,0.0,1.72,0.0,2.97,1.0
555,56,644,11.5,422.05,7.54,21.16,0.0,9.5,107.61,0.0,0.0,0.0,2.19,81.04,27.03,69.54,0.0,10.81,0.0,0.0,34.79,0.0,0.49,0.0,39.11,5.0
556,36,235,6.53,483.14,13.42,2.25,88.88,5.97,11.65,5.89,0.0,1.44,8.62,16.43,13.82,0.0,70.0,10.23,4.33,0.0,12.79,0.0,0.24,0.0,15.34,5.0
557,39,456,11.69,478.34,12.27,17.23,0.0,8.77,58.33,18.97,0.0,0.0,10.53,79.51,82.87,27.38,0.0,58.24,1.2,0.0,26.55,3.36,3.17,0.0,11.16,5.0
558,49,964,19.67,859.52,17.54,24.6,0.0,25.17,137.13,7.29,0.0,0.0,18.87,125.37,132.83,1121.32,0.0,129.92,17.15,8.52,39.8,4.66,13.83,0.0,0.89,1.0
559,18,1073,59.61,1284.47,71.36,37.63,0.0,128.97,160.71,4.06,0.0,28.9,49.62,279.84,485.99,30.66,0.0,138.45,2.25,0.84,107.72,0.0,23.94,0.0,0.0,2.0
560,63,363,5.76,301.45,4.78,9.21,0.0,52.53,54.89,0.0,0.0,27.7,6.73,39.39,32.47,7.92,1.0,3.28,1.2,0.0,1.98,1.15,0.77,0.0,1.45,5.0
561,120,855,7.13,776.71,6.47,22.13,10.0,49.31,99.78,29.63,0.0,44.23,32.79,155.96,194.39,43.2,0.0,2.58,7.65,0.0,51.95,3.63,28.04,0.0,20.09,4.0
562,20,433,21.65,524.82,26.24,2.96,0.0,83.35,134.02,2.58,5.43,0.0,10.91,92.46,64.2,33.83,0.0,50.05,4.4,0.0,11.13,0.0,8.06,0.0,0.0,1.0
563,75,1016,13.55,970.7,12.94,34.63,0.0,143.57,136.93,11.85,0.0,13.79,30.95,51.71,39.33,1.6,0.0,67.75,4.99,2.47,63.51,0.0,13.04,0.0,0.0,4.0
564,173,655,3.79,796.4,4.6,2.32,60.0,46.42,77.25,3.79,0.0,18.59,0.0,52.21,23.49,19.72,1.0,57.34,1.37,0.0,36.12,17.0,2.64,0.0,2.45,3.0
565,89,419,4.71,654.91,7.36,12.71,45.0,115.01,40.76,0.0,4.99,0.0,16.19,8.86,17.55,4.81,17.0,0.0,21.88,0.0,28.72,3.38,4.83,0.0,0.99,4.0
566,17,438,25.76,514.02,30.24,20.62,20.0,59.99,63.02,1.49,0.0,0.0,20.55,55.2,83.8,42.04,0.0,20.65,13.25,3.81,13.78,3.4,11.18,0.0,8.44,1.0
567,47,350,7.45,586.07,12.47,90.08,25.0,51.24,45.42,0.45,0.0,395.74,23.82,8.42,24.2,10.68,0.0,16.21,5.06,1.68,15.89,3.04,7.79,0.0,7.3,5.0
568,78,979,12.55,824.94,10.58,16.09,0.0,135.35,225.88,14.59,0.0,0.0,124.46,57.04,9.15,13.38,0.0,16.94,19.88,0.0,0.0,0.0,3.45,0.0,2.08,4.0
569,22,517,23.5,533.46,24.25,11.16,0.0,85.71,97.03,9.01,0.0,47.06,33.34,161.26,39.63,36.51,0.0,36.71,3.03,1.69,19.25,13.08,6.65,0.0,4.97,1.0
570,79,783,9.91,1005.26,12.72,28.44,30.0,64.48,89.19,5.91,0.0,4.25,57.89,168.94,43.14,79.73,0.0,61.71,0.85,0.0,27.35,16.22,20.58,0.0,3.88,4.0
571,36,817,22.69,814.94,22.64,2.99,0.0,168.74,205.7,22.5,0.0,0.0,29.32,364.87,35.12,21.22,0.0,8.32,27.77,0.0,8.2,0.0,1.49,0.0,10.97,1.0
572,31,261,8.42,228.97,7.39,10.69,0.0,16.31,12.92,0.0,0.0,7.65,6.83,38.17,77.24,0.3,27.5,1.0,3.02,0.0,2.93,0.0,1.32,0.0,5.92,5.0
573,61,594,9.74,519.99,8.52,14.82,15.0,92.75,105.74,9.6,0.0,0.0,55.73,48.71,37.14,18.78,0.0,4.38,10.59,0.0,17.9,0.0,12.54,0.0,6.73,4.0
574,105,917,8.73,951.5,9.06,18.18,0.0,166.06,147.44,1.11,0.0,0.0,39.76,155.74,50.43,32.86,0.0,32.97,30.6,0.0,6.44,60.0,4.64,0.0,3.27,4.0
575,22,164,7.45,233.28,10.6,18.32,10.0,29.81,4.82,1.46,0.0,14.61,2.29,0.0,27.15,78.29,17.0,15.54,3.18,6.76,29.96,22.09,12.05,0.0,4.76,5.0
576,11,286,26.0,274.64,24.97,6.11,0.0,42.08,83.68,0.0,0.0,0.0,14.9,3.83,63.68,12.67,1.0,1.49,1.0,0.0,28.9,0.0,22.52,0.0,0.0,1.0
577,29,466,16.07,431.59,14.88,22.82,0.0,49.3,11.27,62.58,0.0,0.0,0.0,78.65,15.82,24.85,0.0,0.0,20.37,0.0,0.0,1.27,0.0,0.0,0.99,0.0
578,37,149,4.03,503.12,13.6,1.73,474.5,25.2,28.75,1.25,0.0,0.0,0.85,5.61,6.82,19.99,0.0,7.73,0.35,0.0,3.9,0.0,1.79,0.0,8.71,5.0
579,39,246,6.31,291.73,7.48,13.03,0.0,32.68,47.42,0.0,0.0,4.67,1.88,30.16,38.85,37.21,0.0,52.36,6.06,0.0,7.21,1.01,2.7,0.0,11.17,5.0
580,75,547,7.29,575.99,7.68,15.27,0.0,42.63,136.73,25.28,0.0,0.0,25.33,115.5,100.97,23.25,4.5,56.06,18.78,0.0,10.36,4.99,2.62,0.0,6.67,4.0
581,72,609,8.46,579.0,8.04,22.64,5.0,8.7,102.0,26.32,0.0,0.0,0.0,83.72,35.42,10.8,7.0,6.27,2.95,0.0,10.17,0.0,88.48,35.87,0.89,4.0
582,47,770,16.38,952.62,20.27,19.94,0.0,71.05,128.87,1.89,0.0,0.0,37.64,124.53,124.77,121.17,0.0,109.46,22.89,20.42,12.73,21.04,12.31,0.0,23.07,1.0
583,24,354,14.75,448.8,18.7,19.4,0.0,36.87,57.6,18.02,0.0,0.0,24.42,30.98,69.92,43.54,6.0,58.83,5.73,0.0,14.68,6.61,33.53,0.0,0.0,5.0
584,91,1744,19.16,1959.54,21.53,40.7,0.0,520.27,222.28,0.0,0.0,3.4,66.66,411.19,833.3,94.08,0.0,1.99,1.4,0.67,20.1,17.94,40.7,0.0,13.24,3.0
585,13,529,40.69,528.43,40.65,185.54,0.0,20.65,125.95,29.08,0.0,0.0,29.49,74.94,115.87,172.14,0.0,0.0,1.27,0.0,3.14,2.55,26.1,0.0,6.93,1.0
586,147,990,6.73,1354.4,9.21,20.62,0.0,75.51,142.83,11.05,0.0,32.5,10.9,106.63,184.08,35.29,42.0,2.16,10.75,0.0,16.92,2.29,27.95,93.78,3.66,3.0
587,104,563,5.41,436.2,4.19,25.68,24.0,34.67,65.87,0.0,0.0,0.0,10.89,64.42,64.93,22.87,8.0,3.98,5.15,0.0,7.66,3.98,1.65,0.0,0.0,4.0
588,177,939,5.31,866.09,4.89,45.68,0.0,29.07,19.58,27.93,0.0,10.21,16.82,191.7,8.64,111.76,0.0,82.18,27.21,0.0,23.39,0.84,23.54,0.0,18.34,3.0
589,60,613,10.22,842.24,14.04,28.38,50.0,89.71,105.63,0.0,0.0,108.57,8.67,73.8,29.94,63.79,3.0,35.27,13.19,14.51,38.28,7.61,10.46,0.0,0.0,4.0
590,62,576,9.29,551.7,8.9,4.74,0.0,17.86,16.34,8.12,0.0,46.41,0.0,90.13,29.82,42.02,22.0,46.4,15.38,1.69,22.78,0.0,10.56,0.0,0.0,4.0
591,91,749,8.23,873.07,9.59,16.96,45.0,90.5,144.7,0.0,0.0,0.0,49.05,98.6,336.63,33.79,0.0,2.15,8.46,3.4,10.65,0.0,0.84,0.0,0.0,4.0
592,53,973,18.36,1371.68,25.88,40.31,0.0,89.57,65.74,0.0,0.0,132.74,14.09,444.09,269.25,101.78,0.0,136.03,1.54,44.05,64.73,5.52,8.88,0.0,0.0,1.0
593,47,519,11.04,870.78,18.53,17.98,45.0,71.6,64.23,0.0,0.0,117.16,22.59,40.96,22.71,23.02,0.0,26.58,4.46,0.0,17.39,0.84,35.96,0.0,1.96,5.0
594,17,188,11.06,256.67,15.1,9.68,0.0,13.12,17.59,0.0,0.0,0.0,4.53,23.81,25.2,24.06,0.0,31.17,15.75,0.0,25.7,1.27,0.0,0.0,10.52,5.0
595,32,221,6.91,273.14,8.54,6.73,0.0,14.52,22.08,0.95,0.0,0.0,30.29,0.77,60.06,33.15,0.0,35.01,1.29,0.0,1.55,25.54,6.15,0.0,0.0,5.0
596,38,643,16.92,595.72,15.68,13.94,0.0,53.0,160.28,0.0,0.0,16.46,17.05,147.96,80.45,16.82,0.0,25.77,0.8,1.92,21.05,3.04,0.0,0.0,6.71,5.0
597,18,1019,56.61,1151.82,63.99,0.0,0.0,2671.34,2.42,0.0,0.0,615.1,117.04,47.94,299.18,35.6,0.0,94.6,2.15,3.4,289.71,0.84,11.12,0.0,0.0,2.0
598,17,109,6.41,154.93,9.11,1.05,0.0,12.54,23.16,34.56,0.0,0.0,0.0,16.27,10.95,25.53,0.0,5.84,1.84,0.0,1.49,0.0,4.36,0.0,2.18,5.0
599,121,903,7.46,892.48,7.38,37.42,0.0,49.8,183.78,0.0,0.0,0.0,72.04,84.34,125.06,16.44,9.0,29.0,35.5,0.0,79.49,0.0,30.43,0.0,7.46,4.0
600,105,808,7.7,778.9,7.42,16.64,0.0,111.93,66.59,8.46,0.0,23.55,36.22,118.29,310.21,18.76,0.0,38.11,7.63,0.0,10.31,0.0,7.77,0.0,0.0,4.0
601,43,858,19.95,1024.33,23.82,10.16,0.0,151.7,220.05,2.74,0.0,0.0,120.44,116.55,128.63,1.01,0.0,20.07,0.76,0.0,23.41,0.0,31.81,0.0,2.76,1.0
602,17,163,9.59,195.46,11.5,1.86,0.0,9.46,39.76,0.0,2.74,13.56,3.93,32.5,17.35,2.45,0.0,22.1,1.99,0.0,1.49,8.46,2.39,0.0,0.0,5.0
603,41,349,8.51,470.41,11.47,5.33,0.0,29.47,31.06,0.0,0.0,137.02,20.71,116.75,12.15,4.87,0.0,34.93,1.8,0.0,12.03,0.0,41.39,0.0,11.07,5.0
604,53,822,15.51,1013.38,19.12,9.13,0.0,52.06,80.44,0.0,0.0,0.0,21.49,117.92,122.48,158.64,0.0,38.23,10.22,0.0,80.0,0.5,13.23,0.0,21.09,1.0
605,67,567,8.46,491.49,7.34,11.56,0.0,92.84,66.52,0.0,0.0,13.77,15.67,121.7,131.48,4.23,0.0,35.17,14.19,0.0,22.75,0.0,98.91,0.0,5.18,4.0
606,35,322,9.2,416.03,11.89,14.91,0.0,56.34,46.62,8.26,0.0,87.12,15.83,30.62,22.24,0.92,2.0,18.99,11.66,0.0,11.67,28.95,9.72,0.0,0.0,5.0
607,23,172,7.48,187.3,8.14,8.06,0.0,9.83,25.01,2.0,0.0,38.43,5.28,44.58,28.78,3.73,24.0,13.03,6.6,0.0,3.98,0.0,17.73,0.0,22.63,5.0
608,88,459,5.22,468.73,5.33,11.23,10.0,60.05,44.21,4.0,0.0,49.1,35.79,44.4,29.33,5.35,45.0,5.25,22.09,0.0,23.28,0.0,3.41,0.0,7.4,4.0
609,57,248,4.35,292.51,5.13,9.19,10.0,37.2,48.3,0.0,0.0,10.28,0.0,40.93,26.03,0.5,0.0,18.21,3.4,1.27,7.46,0.0,0.0,0.0,18.42,5.0
610,90,594,6.6,614.18,6.82,20.7,0.0,101.49,106.38,3.35,0.0,0.0,26.99,51.93,103.81,25.14,31.0,35.92,17.96,0.0,2.32,0.0,8.06,0.0,0.0,4.0
611,36,369,10.25,344.46,9.57,18.26,0.0,16.33,40.05,12.45,9.5,71.43,2.39,32.1,76.58,31.13,0.0,32.87,3.16,0.0,9.16,0.0,29.25,0.0,1.44,5.0
612,81,934,11.53,934.77,11.54,20.77,5.0,61.69,187.4,0.0,0.0,32.3,21.95,206.38,130.17,139.31,2.0,6.18,0.85,3.38,15.92,0.0,7.53,0.0,7.78,4.0
613,31,1718,55.42,1951.11,62.94,99.85,0.0,306.47,465.78,16.54,0.0,0.0,99.64,256.34,188.66,91.8,0.0,106.47,48.18,5.75,13.33,113.62,39.12,0.0,2.43,2.0
614,152,852,5.61,979.21,6.44,5.52,0.0,24.69,155.64,11.92,1.0,92.27,23.97,142.33,203.32,72.78,0.0,74.69,9.7,0.0,42.11,0.0,20.7,0.0,1.36,3.0
615,35,706,20.17,1015.64,29.02,7.15,0.0,128.38,104.9,1.6,0.0,120.49,18.91,102.02,67.9,60.22,0.0,23.31,24.8,5.09,38.02,0.0,32.22,0.0,0.0,1.0
616,153,843,5.51,771.69,5.04,19.41,5.0,52.09,71.36,27.81,12.08,19.46,5.9,66.74,70.45,61.55,5.0,15.29,1.75,0.21,15.16,68.08,22.84,0.0,4.74,3.0
617,4,97,24.25,109.9,27.48,7.03,0.0,13.8,18.82,0.0,0.0,0.0,2.51,3.42,37.72,16.42,0.0,8.98,3.96,0.0,0.49,1.69,1.5,0.0,12.17,5.0
618,70,1164,16.63,1659.42,23.71,30.57,0.0,144.27,104.97,0.0,0.0,640.17,174.31,181.77,303.5,73.08,0.0,105.98,0.0,10.02,44.03,76.74,18.36,0.0,9.51,1.0
619,39,1357,34.79,2019.02,51.77,11.09,0.0,75.28,147.29,0.0,0.0,242.27,0.0,663.25,377.32,167.02,0.0,108.71,27.65,3.9,14.22,32.02,63.82,0.0,2.4,2.0
620,18,289,16.06,383.04,21.28,13.75,0.0,45.34,69.52,6.66,0.0,0.0,29.09,76.82,75.92,42.91,0.0,20.15,16.67,0.0,17.67,0.0,0.0,0.0,0.0,5.0
621,36,635,17.64,614.16,17.06,10.31,0.0,96.92,80.31,0.0,0.0,47.47,23.47,149.85,233.63,44.65,0.0,29.47,1.7,0.0,19.7,6.8,23.46,0.0,2.87,5.0
622,15,248,16.53,291.99,19.47,7.99,0.0,72.9,39.13,3.64,0.0,0.0,13.55,55.51,17.87,25.78,0.0,6.65,2.93,0.0,3.78,0.0,4.87,0.0,2.33,5.0
623,46,989,21.5,845.32,18.38,92.6,0.0,699.58,26.23,0.76,36.29,13.85,5.53,69.1,163.87,183.62,0.0,1.25,4.15,0.0,8.99,1.69,34.94,0.0,0.0,1.0
624,43,338,7.86,335.81,7.81,12.61,0.0,9.68,41.16,0.34,0.0,8.24,3.61,101.53,31.1,6.97,0.0,22.59,0.0,0.0,3.61,0.0,0.77,0.0,0.0,5.0
625,28,306,10.93,381.65,13.63,17.44,0.0,55.75,49.93,0.4,0.0,86.9,21.83,28.84,28.16,15.42,0.0,18.5,1.2,0.0,17.31,3.4,24.95,0.0,2.37,5.0
626,40,239,5.98,307.29,7.68,9.47,0.0,9.1,30.97,0.0,0.0,50.87,1.19,93.72,3.31,1.94,4.0,12.74,2.6,0.0,4.17,0.0,3.26,0.0,0.0,5.0
